country,city,year,lat,long,alt,tmax,tmin,prcp,agdd_winter,tmax_winter,prcp_winter,tmin_winter,co2_percapita,bloom_date
Japan,Ishigakijima,1962,24.33666667,124.1644444,5.7,23.8,21.0504,21.97045455,22.35,17.8,98.4,15.01875,3.068,51
Japan,Ishigakijima,1963,24.33666667,124.1644444,5.7,23.8,21.0504,21.97045455,22.35,17.8,98.4,15.01875,3.37,46
Japan,Ishigakijima,1967,24.33666667,124.1644444,5.7,23.8,21.0504,21.97045455,22.35,17.8,98.4,15.01875,4.8532,44
Japan,Ishigakijima,1971,24.33666667,124.1644444,5.7,23.8,21.0504,21.97045455,22.35,17.8,98.4,15.01875,7.4844,41
Japan,Ishigakijima,1972,24.33666667,124.1644444,5.7,23.8,21.0504,21.97045455,22.35,17.8,98.4,15.01875,7.8922,51
Japan,Ishigakijima,1973,24.33666667,124.1644444,5.7,26.78115502,21.81632653,6.745170455,649.5,22.9348659,48.49867374,17.36111111,8.3473,37
Japan,Ishigakijima,1968,24.33666667,124.1644444,5.7,23.8,21.0504,21.97045455,22.35,17.8,98.4,15.01875,5.5023,19
Japan,Ishigakijima,1976,24.33666667,124.1644444,5.7,26.51818182,20.46606335,4.892032967,890,20.97224959,18.04078606,15.23670287,7.9799,28
Japan,Ishigakijima,1977,24.33666667,124.1644444,5.7,27.04046243,21.68325792,5.897222222,875,20.96544356,76.54004096,15.37719298,8.1273,34
Japan,Ishigakijima,1978,24.33666667,124.1644444,5.7,26.63037249,21.04784689,5.572299169,927,21.58007663,24.71815156,15.80584795,7.7804,49
Japan,Ishigakijima,1974,24.33666667,124.1644444,5.7,26.76876877,21.18828452,6.367966574,1003.5,20.18192392,34.04452409,14.78708134,8.2353,20
Japan,Ishigakijima,1959,24.33666667,124.1644444,5.7,23.8,21.0504,21.97045455,22.35,17.8,98.4,15.01875,2.076,33
Japan,Ishigakijima,1981,24.33666667,124.1644444,5.7,26.4159292,21.22707424,5.623529412,829,20.89296749,21.55210918,15.57142857,7.8061,33
Japan,Ishigakijima,1982,24.33666667,124.1644444,5.7,26.63745318,20.84583333,12.08368794,733.95,20.81301587,52.86824794,15.72170868,7.5031,24
Japan,Ishigakijima,1983,24.33666667,124.1644444,5.7,27.22600733,21.71941176,10.8238806,654.2,21.04889706,94.06847245,16.36327485,7.3148,40
Japan,Ishigakijima,1984,24.33666667,124.1644444,5.7,26.72389706,21.62684211,11.53684211,491.15,20.54294432,41.97424242,15.29187675,7.7323,26
